"Date","Price","Open","High","Low","Change %"
"Sep 04, 2015","68.4838","67.1930","68.5237","67.1248","1.92"
"Sep 03, 2015","67.1930","67.0242","67.5788","66.1850","0.25"
"Sep 02, 2015","67.0242","66.7987","67.8970","66.3316","0.34"
"Sep 01, 2015","66.7987","64.2768","66.7998","64.2768","3.92"
"Aug 31, 2015","64.2768","65.4230","67.3542","63.7190","-1.75"
"Aug 28, 2015","65.4230","66.0333","67.3563","64.8438","-0.92"
"Aug 27, 2015","66.0333","68.9066","68.9066","65.7936","-4.17"
"Aug 26, 2015","68.9066","69.0514","69.9215","68.5516","-0.21"
"Aug 25, 2015","69.0514","70.8892","70.9434","68.1630","-2.59"
"Aug 24, 2015","70.8892","69.1330","71.6014","69.1330","2.54"
"Aug 21, 2015","69.1330","67.9297","69.2692","67.8890","1.77"
"Aug 20, 2015","67.9297","66.6027","68.0282","66.6027","1.99"
"Aug 19, 2015","66.6027","65.8717","66.6050","65.5213","1.11"
"Aug 18, 2015","65.8717","65.5000","65.9345","65.5000","0.57"
"Aug 17, 2015","65.5000","64.9938","65.7277","64.9938","0.78"
"Aug 14, 2015","64.9938","64.6977","65.0320","64.4253","0.46"
"Aug 13, 2015","64.6977","64.2518","65.0143","63.7682","0.69"
"Aug 12, 2015","64.2518","64.2719","65.2211","64.0837","-0.03"
"Aug 11, 2015","64.2719","62.8730","64.5091","62.8730","2.22"
"Aug 10, 2015","62.8730","64.0370","64.6420","62.7130","-1.82"
"Aug 07, 2015","64.0370","64.0149","64.6894","63.4633","0.03"
"Aug 06, 2015","64.0149","63.4619","64.5489","63.3631","0.87"
"Aug 05, 2015","63.4619","63.0518","63.7956","62.5759","0.65"
"Aug 04, 2015","63.0518","63.5263","63.5263","62.4698","-0.75"
"Aug 03, 2015","63.5263","61.7417","63.5923","61.7417","2.89"
"Jul 31, 2015","61.7417","59.7270","61.7507","59.7270","3.37"
"Jul 30, 2015","59.7270","58.6778","59.8859","58.6778","1.79"
"Jul 29, 2015","58.6778","60.0155","60.0307","58.5752","-2.23"
"Jul 28, 2015","60.0155","59.6501","60.7966","59.6501","0.61"
"Jul 27, 2015","59.6501","58.4299","59.7979","58.3974","2.09"
"Jul 24, 2015","58.4299","57.8501","58.7070","57.8501","1.00"
"Jul 23, 2015","57.8501","57.4359","57.9746","57.2864","0.72"
"Jul 22, 2015","57.4359","56.9346","57.4977","56.9257","0.88"
"Jul 21, 2015","56.9346","56.9939","57.0879","56.7586","-0.10"
"Jul 20, 2015","56.9939","56.9669","57.0569","56.7288","0.05"
"Jul 17, 2015","56.9669","56.9496","57.1005","56.7303","0.03"
"Jul 16, 2015","56.9496","56.9520","57.0415","56.5042","-0.00"
"Jul 15, 2015","56.9520","56.4068","56.9550","56.4068","0.97"
"Jul 14, 2015","56.4068","56.5410","57.0470","56.4001","-0.24"
"Jul 13, 2015","56.5410","56.3876","56.8354","56.3533","0.27"
"Jul 10, 2015","56.3876","57.1921","57.1921","56.2059","-1.41"
"Jul 09, 2015","57.1921","57.4966","57.4966","56.5614","-0.53"
